"","GID_0","NAME_0","GID_1","NAME_1","NL_NAME_1","GID_2","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2"
"18","KHM","Cambodia","KHM.13_1","Krong Preah Sihanouk",NA,"KHM.13.2_1","Prey Nob",NA,NA,"Srok","District",NA,"KH.KA.PN"
"19","KHM","Cambodia","KHM.13_1","Krong Preah Sihanouk",NA,"KHM.13.3_1","Stueng hav",NA,NA,"Srok","District",NA,"KH.KA.SH"
"20","KHM","Cambodia","KHM.14_1","Môndól Kiri",NA,"KHM.14.1_1","Kaev Seima",NA,NA,"Srok","District",NA,"KH.MK.KS"
"21","KHM","Cambodia","KHM.14_1","Môndól Kiri",NA,"KHM.14.2_1","Kaoh Nheaek",NA,NA,"Srok","District",NA,"KH.MK.KN"
"22","KHM","Cambodia","KHM.14_1","Môndól Kiri",NA,"KHM.14.3_1","Ou Reang",NA,NA,"Srok","District",NA,"KH.MK.OR"
"23","KHM","Cambodia","KHM.14_1","Môndól Kiri",NA,"KHM.14.4_1","Pechr Chenda",NA,NA,"Srok","District",NA,"KH.MK.PC"
"24","KHM","Cambodia","KHM.14_1","Môndól Kiri",NA,"KHM.14.5_1","Saen Monourom",NA,NA,"Srok","District",NA,"KH.MK.SM"
"25","KHM","Cambodia","KHM.15_1","Otdar Mean Chey",NA,"KHM.15.1_1","Anlong Veaeng",NA,NA,"Srok","District",NA,"KH.OC.AV"
"26","KHM","Cambodia","KHM.15_1","Otdar Mean Chey",NA,"KHM.15.2_1","Banteay Ampil",NA,NA,"Srok","District",NA,"KH.OC.BA"
"27","KHM","Cambodia","KHM.15_1","Otdar Mean Chey",NA,"KHM.15.3_1","Chong Kal",NA,NA,"Srok","District",NA,"KH.OC.CK"
"28","KHM","Cambodia","KHM.15_1","Otdar Mean Chey",NA,"KHM.15.4_1","Samraong",NA,NA,"Srok","District",NA,"KH.OC.SR"
"29","KHM","Cambodia","KHM.16_1","Phnom Penh",NA,"KHM.16.1_1","Dangkao",NA,NA,"Srok","District",NA,"KH.PP.DK"
"30","KHM","Cambodia","KHM.16_1","Phnom Penh",NA,"KHM.16.2_1","Mean Chey",NA,NA,"Srok","District",NA,"KH.PP.MC"
"31","KHM","Cambodia","KHM.16_1","Phnom Penh",NA,"KHM.16.3_1","Phnom Penh",NA,NA,"Srok","District",NA,NA
"32","KHM","Cambodia","KHM.16_1","Phnom Penh",NA,"KHM.16.4_1","Ruessei Kaev",NA,NA,"Srok","District",NA,"KH.PP.RK"
"33","KHM","Cambodia","KHM.17_1","Pouthisat",NA,"KHM.17.1_1","Bakan",NA,NA,"Srok","District",NA,"KH.PO.BK"
"34","KHM","Cambodia","KHM.17_1","Pouthisat",NA,"KHM.17.2_1","Kandieng",NA,NA,"Srok","District",NA,"KH.PO.KD"
"35","KHM","Cambodia","KHM.17_1","Pouthisat",NA,"KHM.17.3_1","Krakor",NA,NA,"Srok","District",NA,"KH.PO.KK"
"36","KHM","Cambodia","KHM.17_1","Pouthisat",NA,"KHM.17.4_1","Phnum Kravanh",NA,NA,"Srok","District",NA,"KH.PO.PK"
"37","KHM","Cambodia","KHM.17_1","Pouthisat",NA,"KHM.17.5_1","Sampov Meas",NA,NA,"Srok","District",NA,"KH.PO.SM"
"38","KHM","Cambodia","KHM.17_1","Pouthisat",NA,"KHM.17.6_1","Veal Veaeng",NA,NA,"Srok","District",NA,"KH.PO.VV"
"39","KHM","Cambodia","KHM.18_1","Preah Vihéar",NA,"KHM.18.1_1","Chey Saen",NA,NA,"Srok","District",NA,"KH.PH.CS"
"40","KHM","Cambodia","KHM.18_1","Preah Vihéar",NA,"KHM.18.2_1","Chhaeb",NA,NA,"Srok","District",NA,"KH.PH.CB"
"41","KHM","Cambodia","KHM.18_1","Preah Vihéar",NA,"KHM.18.3_1","Choam Khsant",NA,NA,"Srok","District",NA,"KH.PH.CK"
"42","KHM","Cambodia","KHM.18_1","Preah Vihéar",NA,"KHM.18.4_1","Kuleaen",NA,NA,"Srok","District",NA,"KH.PH.KL"
"43","KHM","Cambodia","KHM.18_1","Preah Vihéar",NA,"KHM.18.5_1","Rovieng",NA,NA,"Srok","District",NA,"KH.PH.RV"
"44","KHM","Cambodia","KHM.18_1","Preah Vihéar",NA,"KHM.18.6_1","Sangkom Thmei",NA,NA,"Srok","District",NA,"KH.PH.ST"
"45","KHM","Cambodia","KHM.18_1","Preah Vihéar",NA,"KHM.18.7_1","Tbaeng Mean chey",NA,NA,"Srok","District",NA,"KH.PH.TM"
"46","KHM","Cambodia","KHM.19_1","Prey Vêng",NA,"KHM.19.1_1","Ba Phnum",NA,NA,"Srok","District",NA,"KH.PY.BP"
"50","KHM","Cambodia","KHM.19_1","Prey Vêng",NA,"KHM.19.2_1","Kamchay Mear",NA,NA,"Srok","District",NA,"KH.PY.KM"
"51","KHM","Cambodia","KHM.19_1","Prey Vêng",NA,"KHM.19.3_1","Kampong Leav",NA,NA,"Srok","District",NA,"KH.PY.KL"
"52","KHM","Cambodia","KHM.19_1","Prey Vêng",NA,"KHM.19.4_1","Kampong Trabaek",NA,NA,"Srok","District",NA,"KH.PY.KT"
"53","KHM","Cambodia","KHM.19_1","Prey Vêng",NA,"KHM.19.5_1","Kanhchriech",NA,NA,"Srok","District",NA,"KH.PY.KC"
"54","KHM","Cambodia","KHM.19_1","Prey Vêng",NA,"KHM.19.6_1","Me Sang",NA,NA,"Srok","District",NA,"KH.PY.MS"
"55","KHM","Cambodia","KHM.19_1","Prey Vêng",NA,"KHM.19.7_1","Pea Reang",NA,NA,"Srok","District",NA,"KH.PY.PG"
"56","KHM","Cambodia","KHM.19_1","Prey Vêng",NA,"KHM.19.8_1","Peam Chor",NA,NA,"Srok","District",NA,"KH.PY.PC"
"57","KHM","Cambodia","KHM.19_1","Prey Vêng",NA,"KHM.19.9_1","Peam Ro",NA,NA,"Srok","District",NA,"KH.PY.PR"
"47","KHM","Cambodia","KHM.19_1","Prey Vêng",NA,"KHM.19.10_1","Preah Sdach",NA,NA,"Srok","District",NA,"KH.PY.PS"
"48","KHM","Cambodia","KHM.19_1","Prey Vêng",NA,"KHM.19.11_1","Prey Veaeng",NA,NA,"Srok","District",NA,"KH.PY.PV"
"49","KHM","Cambodia","KHM.19_1","Prey Vêng",NA,"KHM.19.12_1","Sithor Kandal",NA,NA,"Srok","District",NA,"KH.PY.SK"
"68","KHM","Cambodia","KHM.20_1","Rôtânôkiri",NA,"KHM.20.1_1","Andoung Meas",NA,NA,"Srok","District",NA,"KH.RO.AM"
"69","KHM","Cambodia","KHM.20_1","Rôtânôkiri",NA,"KHM.20.2_1","Ban Lung",NA,NA,"Srok","District",NA,"KH.RO.BL"
"70","KHM","Cambodia","KHM.20_1","Rôtânôkiri",NA,"KHM.20.3_1","Bar Kaev",NA,NA,"Srok","District",NA,"KH.RO.BK"
"71","KHM","Cambodia","KHM.20_1","Rôtânôkiri",NA,"KHM.20.4_1","Koun Mom",NA,NA,"Srok","District",NA,"KH.RO.KM"
"72","KHM","Cambodia","KHM.20_1","Rôtânôkiri",NA,"KHM.20.5_1","Lumphat",NA,NA,"Srok","District",NA,"KH.RO.LP"
"73","KHM","Cambodia","KHM.20_1","Rôtânôkiri",NA,"KHM.20.6_1","Ou Chum",NA,NA,"Srok","District",NA,"KH.RO.OC"
"74","KHM","Cambodia","KHM.20_1","Rôtânôkiri",NA,"KHM.20.7_1","Ou Ya Dav",NA,NA,"Srok","District",NA,"KH.RO.OY"
"75","KHM","Cambodia","KHM.20_1","Rôtânôkiri",NA,"KHM.20.8_1","Ta Veaeng",NA,NA,"Srok","District",NA,"KH.RO.TV"
"76","KHM","Cambodia","KHM.20_1","Rôtânôkiri",NA,"KHM.20.9_1","Veun Sai",NA,NA,"Srok","District",NA,"KH.RO.VS"
"77","KHM","Cambodia","KHM.21_1","Siemréab",NA,"KHM.21.1_1","Angkor Chum",NA,NA,"Srok","District",NA,"KH.SI.AC"
"81","KHM","Cambodia","KHM.21_1","Siemréab",NA,"KHM.21.2_1","Angkor Thum",NA,NA,"Srok","District",NA,"KH.SI.AT"
"82","KHM","Cambodia","KHM.21_1","Siemréab",NA,"KHM.21.3_1","Banteay Srei",NA,NA,"Srok","District",NA,"KH.SI.BS"
"83","KHM","Cambodia","KHM.21_1","Siemréab",NA,"KHM.21.4_1","Chi Kraeng",NA,NA,"Srok","District",NA,"KH.SI.CK"
"84","KHM","Cambodia","KHM.21_1","Siemréab",NA,"KHM.21.5_1","Kralanh",NA,NA,"Srok","District",NA,"KH.SI.KL"
"85","KHM","Cambodia","KHM.21_1","Siemréab",NA,"KHM.21.6_1","Prasat Bakong",NA,NA,"Srok","District",NA,"KH.SI.PB"
"86","KHM","Cambodia","KHM.21_1","Siemréab",NA,"KHM.21.7_1","Puok",NA,NA,"Srok","District",NA,"KH.SI.PK"
"87","KHM","Cambodia","KHM.21_1","Siemréab",NA,"KHM.21.8_1","Siem Reab",NA,NA,"Srok","District",NA,"KH.SI.SR"
"88","KHM","Cambodia","KHM.21_1","Siemréab",NA,"KHM.21.9_1","Soutr Nikom",NA,NA,"Srok","District",NA,"KH.SI.SN"
"78","KHM","Cambodia","KHM.21_1","Siemréab",NA,"KHM.21.10_1","Srei Snam",NA,NA,"Srok","District",NA,"KH.SI.SS"
"79","KHM","Cambodia","KHM.21_1","Siemréab",NA,"KHM.21.11_1","Svay Leu",NA,NA,"Srok","District",NA,"KH.SI.SL"
"80","KHM","Cambodia","KHM.21_1","Siemréab",NA,"KHM.21.12_1","Varin",NA,NA,"Srok","District",NA,"KH.SI.VR"
"89","KHM","Cambodia","KHM.22_1","Stœng Trêng",NA,"KHM.22.1_1","Sesan",NA,NA,"Srok","District",NA,"KH.ST.SS"
"90","KHM","Cambodia","KHM.22_1","Stœng Trêng",NA,"KHM.22.2_1","Siem Bouk",NA,NA,"Srok","District",NA,"KH.ST.SB"
"91","KHM","Cambodia","KHM.22_1","Stœng Trêng",NA,"KHM.22.3_1","Siem Pang",NA,NA,"Srok","District",NA,"KH.ST.SP"
"92","KHM","Cambodia","KHM.22_1","Stœng Trêng",NA,"KHM.22.4_1","Stueng Traeng",NA,NA,"Srok","District",NA,"KH.ST.ST"
"93","KHM","Cambodia","KHM.22_1","Stœng Trêng",NA,"KHM.22.5_1","Thala Barivat",NA,NA,"Srok","District",NA,"KH.ST.TB"
"94","KHM","Cambodia","KHM.23_1","Svay Rieng",NA,"KHM.23.1_1","Chantrea",NA,NA,"Srok","District",NA,"KH.SR.CT"
"95","KHM","Cambodia","KHM.23_1","Svay Rieng",NA,"KHM.23.2_1","Kampong Rou",NA,NA,"Srok","District",NA,"KH.SR.KR"
"96","KHM","Cambodia","KHM.23_1","Svay Rieng",NA,"KHM.23.3_1","Romeas Haek",NA,NA,"Srok","District",NA,"KH.SR.RH"
"97","KHM","Cambodia","KHM.23_1","Svay Rieng",NA,"KHM.23.4_1","Rumduol",NA,NA,"Srok","District",NA,"KH.SR.RD"
"98","KHM","Cambodia","KHM.23_1","Svay Rieng",NA,"KHM.23.5_1","Svay Chrum",NA,NA,"Srok","District",NA,"KH.SR.SC"
"99","KHM","Cambodia","KHM.23_1","Svay Rieng",NA,"KHM.23.6_1","Svay Rieng",NA,NA,"Srok","District",NA,"KH.SR.SR"
"100","KHM","Cambodia","KHM.23_1","Svay Rieng",NA,"KHM.23.7_1","Svay Teab",NA,NA,"Srok","District",NA,"KH.SR.ST"
"101","KHM","Cambodia","KHM.24_1","Takêv",NA,"KHM.24.1_1","Angkor Borei",NA,NA,"Srok","District",NA,"KH.TA.AB"
"103","KHM","Cambodia","KHM.24_1","Takêv",NA,"KHM.24.2_1","Bati",NA,NA,"Srok","District",NA,"KH.TA.BT"
"104","KHM","Cambodia","KHM.24_1","Takêv",NA,"KHM.24.3_1","Bourei Cholsar",NA,NA,"Srok","District",NA,"KH.TA.BC"
"105","KHM","Cambodia","KHM.24_1","Takêv",NA,"KHM.24.4_1","Doun Kaev",NA,NA,"Srok","District",NA,"KH.TA.DK"
"106","KHM","Cambodia","KHM.24_1","Takêv",NA,"KHM.24.5_1","Kaoh Andaet",NA,NA,"Srok","District",NA,"KH.TA.KA"
"107","KHM","Cambodia","KHM.24_1","Takêv",NA,"KHM.24.6_1","Kiri Vong",NA,NA,"Srok","District",NA,"KH.TA.KV"
"108","KHM","Cambodia","KHM.24_1","Takêv",NA,"KHM.24.7_1","Prey Kabbas",NA,NA,"Srok","District",NA,"KH.TA.PK"
"109","KHM","Cambodia","KHM.24_1","Takêv",NA,"KHM.24.8_1","Samraong",NA,NA,"Srok","District",NA,"KH.OC.SR"
"110","KHM","Cambodia","KHM.24_1","Takêv",NA,"KHM.24.9_1","Tram Kak",NA,NA,"Srok","District",NA,"KH.TA.TK"
"102","KHM","Cambodia","KHM.24_1","Takêv",NA,"KHM.24.10_1","Treang",NA,NA,"Srok","District",NA,"KH.TA.TG"
"111","KHM","Cambodia","KHM.25_1","Tbong Khmum",NA,"KHM.25.1_1","Dambae",NA,NA,"Srok","District",NA,"KH.KM.DB"
"112","KHM","Cambodia","KHM.25_1","Tbong Khmum",NA,"KHM.25.2_1","Kampong Siem",NA,NA,"Srok","District",NA,"KH.KM.KS"
"113","KHM","Cambodia","KHM.25_1","Tbong Khmum",NA,"KHM.25.3_1","Krouch Chhmar",NA,NA,"Srok","District",NA,"KH.KM.KC"
"114","KHM","Cambodia","KHM.25_1","Tbong Khmum",NA,"KHM.25.4_1","Memot",NA,NA,"Srok","District",NA,"KH.KM.MM"
"115","KHM","Cambodia","KHM.25_1","Tbong Khmum",NA,"KHM.25.5_1","Ou Reang Ov",NA,NA,"Srok","District",NA,"KH.KM.OR"
"116","KHM","Cambodia","KHM.25_1","Tbong Khmum",NA,"KHM.25.6_1","Ponhea Kraek",NA,NA,"Srok","District",NA,"KH.KM.PK"
"117","KHM","Cambodia","KHM.25_1","Tbong Khmum",NA,"KHM.25.7_1","Tboung Khmum",NA,NA,"Srok","District",NA,"KH.KM.TK"
